"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-11-01 00:00","2018","11","01","00:00","4.2","","3.5","","96","","36","","1","","24.1","","98.94","","","","","","NA"
"2018-11-01 01:00","2018","11","01","01:00","4.5","","3.9","","96","","36","","2","","24.1","","98.93","","","","","","Mainly Clear"
"2018-11-01 02:00","2018","11","01","02:00","4.6","","4.0","","96","","9","","3","","24.1","","98.93","","","","","","NA"
"2018-11-01 03:00","2018","11","01","03:00","4.5","","4.0","","96","","36","","3","","24.1","","98.94","","","","","","NA"
"2018-11-01 04:00","2018","11","01","04:00","4.6","","4.1","","97","","34","","5","","19.3","","98.96","","","","","","Mostly Cloudy"
"2018-11-01 05:00","2018","11","01","05:00","4.5","","4.0","","96","","36","","1","","19.3","","99.00","","","","","","NA"
"2018-11-01 06:00","2018","11","01","06:00","4.7","","4.3","","97","","35","","7","","19.3","","98.98","","","","","","NA"
"2018-11-01 07:00","2018","11","01","07:00","5.1","","4.5","","96","","36","","2","","24.1","","98.96","","","","","","Cloudy"
"2018-11-01 08:00","2018","11","01","08:00","5.1","","4.5","","96","","11","","3","","24.1","","98.98","","","","","","NA"
"2018-11-01 09:00","2018","11","01","09:00","6.1","","4.8","","92","","16","","4","","22.5","","98.90","","","","","","NA"
"2018-11-01 10:00","2018","11","01","10:00","6.8","","5.2","","90","","1","","3","","17.7","","98.93","","","","","","Rain"
"2018-11-01 11:00","2018","11","01","11:00","7.3","","6.0","","92","","22","","6","","14.5","","98.90","","","","","","Rain"
"2018-11-01 12:00","2018","11","01","12:00","7.3","","6.3","","94","","18","","8","","12.9","","98.86","","","","","","Rain"
"2018-11-01 13:00","2018","11","01","13:00","7.2","","6.4","","95","","24","","7","","8.1","","98.79","","","","","","Rain,Fog"
"2018-11-01 14:00","2018","11","01","14:00","7.3","","6.7","","96","","20","","10","","12.9","","98.78","","","","","","Rain"
"2018-11-01 15:00","2018","11","01","15:00","7.1","","6.3","","95","","16","","3","","9.7","","98.69","","","","","","Rain Showers,Fog"
"2018-11-01 16:00","2018","11","01","16:00","7.0","","6.3","","95","","11","","4","","6.4","","98.66","","","","","","Moderate Rain,Fog"
"2018-11-01 17:00","2018","11","01","17:00","6.6","","6.0","","96","","8","","8","","4.8","","98.54","","","","","","Rain,Fog"
"2018-11-01 18:00","2018","11","01","18:00","6.5","","6.0","","97","","8","","12","","11.3","","98.56","","","","","","Rain"
"2018-11-01 19:00","2018","11","01","19:00","6.2","","5.7","","96","","5","","12","","11.3","","98.42","","","","","","Rain"
"2018-11-01 20:00","2018","11","01","20:00","6.0","","5.2","","95","","4","","12","","11.3","","98.38","","","","","","Rain"
"2018-11-01 21:00","2018","11","01","21:00","5.9","","5.3","","96","","5","","11","","11.3","","98.35","","","","","","Moderate Rain Showers"
"2018-11-01 22:00","2018","11","01","22:00","5.3","","4.2","","93","","4","","19","","11.3","","98.27","","","","","","Rain Showers"
"2018-11-01 23:00","2018","11","01","23:00","4.6","","3.7","","94","","3","","19","","12.9","","98.16","","","","","","Rain Showers"
"2018-11-02 00:00","2018","11","02","00:00","4.4","","3.5","","94","","4","","21","","12.9","","98.02","","","","","","Rain"
"2018-11-02 01:00","2018","11","02","01:00","4.2","","3.3","","94","","2","","16","","8.1","","98.06","","","","","","Rain,Fog"
"2018-11-02 02:00","2018","11","02","02:00","4.0","","3.0","","94","","3","","31","","19.3","","97.89","","","","","","Rain"
"2018-11-02 03:00","2018","11","02","03:00","4.1","","2.8","","91","","5","","19","","24.1","","97.83","","","","","","NA"
