"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-04-01 00:00","2018","04","01","00:00","1.1","","-3.4","","72","","29","","35","","24.1","","98.63","","","","","","NA"
"2018-04-01 01:00","2018","04","01","01:00","-0.6","","-5.4","","70","","29","","28","","32.2","","98.76","","","","-7","","Mostly Cloudy"
"2018-04-01 02:00","2018","04","01","02:00","-1.7","","-8.3","","61","","31","","31","","24.1","","98.93","","","","-9","","NA"
"2018-04-01 03:00","2018","04","01","03:00","-2.1","","-8.9","","60","","31","","29","","24.1","","99.02","","","","-9","","NA"
"2018-04-01 04:00","2018","04","01","04:00","-2.4","","-9.4","","59","","31","","17","","24.1","","99.15","","","","-8","","Mostly Cloudy"
"2018-04-01 05:00","2018","04","01","05:00","-3.4","","-11.6","","53","","32","","25","","24.1","","99.27","","","","-10","","NA"
"2018-04-01 06:00","2018","04","01","06:00","-3.6","","-10.5","","59","","31","","18","","24.1","","99.36","","","","-9","","NA"
"2018-04-01 07:00","2018","04","01","07:00","-3.1","","-10.2","","58","","28","","14","","24.1","","99.44","","","","-8","","Mainly Clear"
"2018-04-01 08:00","2018","04","01","08:00","-2.3","","-9.3","","59","","29","","18","","24.1","","99.50","","","","-8","","NA"
"2018-04-01 09:00","2018","04","01","09:00","-1.5","","-8.7","","58","","29","","17","","24.1","","99.53","","","","-7","","NA"
"2018-04-01 10:00","2018","04","01","10:00","-0.1","","-9.1","","51","","31","","15","","24.1","","99.59","","","","-5","","Mostly Cloudy"
"2018-04-01 11:00","2018","04","01","11:00","0.3","","-9.9","","47","","30","","18","","24.1","","99.62","","","","","","NA"
"2018-04-01 12:00","2018","04","01","12:00","0.9","","-10.8","","41","","28","","23","","24.1","","99.58","","","","","","NA"
"2018-04-01 13:00","2018","04","01","13:00","0.7","","-11.6","","40","","27","","14","","24.1","","99.58","","","","","","Mostly Cloudy"
"2018-04-01 14:00","2018","04","01","14:00","2.0","","-10.3","","40","","24","","20","","24.1","","99.57","","","","","","NA"
"2018-04-01 15:00","2018","04","01","15:00","1.2","","-11.0","","40","","28","","17","","24.1","","99.54","","","","","","NA"
"2018-04-01 16:00","2018","04","01","16:00","1.5","","-10.7","","40","","26","","16","","24.1","","99.54","","","","","","Mostly Cloudy"
"2018-04-01 17:00","2018","04","01","17:00","0.8","","-12.0","","38","","27","","23","","24.1","","99.55","","","","","","NA"
"2018-04-01 18:00","2018","04","01","18:00","0.3","","-11.5","","41","","27","","21","","24.1","","99.58","","","","","","NA"
"2018-04-01 19:00","2018","04","01","19:00","-0.5","","-11.6","","43","","28","","14","","24.1","","99.53","","","","-5","","Mostly Cloudy"
"2018-04-01 20:00","2018","04","01","20:00","-0.9","","-11.0","","46","","28","","6","","24.1","","99.53","","","","-3","","NA"
"2018-04-01 21:00","2018","04","01","21:00","-1.2","","-10.7","","49","","23","","4","","24.1","","99.55","","","","-3","","NA"
"2018-04-01 22:00","2018","04","01","22:00","-1.4","","-10.6","","50","","36","","1","","24.1","","99.51","","","","-2","","Mostly Cloudy"
"2018-04-01 23:00","2018","04","01","23:00","-1.4","","-10.3","","51","","17","","4","","24.1","","99.50","","","","-3","","NA"
"2018-04-02 00:00","2018","04","02","00:00","-1.6","","-10.2","","52","","36","","3","","24.1","","99.43","","","","-3","","NA"
"2018-04-02 01:00","2018","04","02","01:00","-2.5","","-9.0","","61","","36","","2","","24.1","","99.39","","","","-3","","Mainly Clear"
"2018-04-02 02:00","2018","04","02","02:00","-3.5","","-8.8","","67","","10","","4","","24.1","","99.38","","","","-5","","NA"
"2018-04-02 03:00","2018","04","02","03:00","-3.4","","-7.9","","71","","1","","3","","24.1","","99.37","","","","-5","","NA"
"2018-04-02 04:00","2018","04","02","04:00","-2.9","","-8.0","","68","","36","","1","","24.1","","99.38","","","","-3","","Mostly Cloudy"
"2018-04-02 05:00","2018","04","02","05:00","-3.9","","-7.6","","75","","36","","2","","24.1","","99.43","","","","-5","","NA"
"2018-04-02 06:00","2018","04","02","06:00","-3.5","","-6.5","","80","","36","","2","","24.1","","99.48","","","","-4","","NA"
"2018-04-02 07:00","2018","04","02","07:00","-2.8","","-5.7","","80","","1","","5","","24.1","","99.49","","","","-5","","Clear"
"2018-04-02 08:00","2018","04","02","08:00","-1.3","","-5.4","","74","","2","","4","","24.1","","99.54","","","","-3","","NA"
"2018-04-02 09:00","2018","04","02","09:00","-0.2","","-6.0","","65","","34","","6","","24.1","","99.55","","","","-2","","NA"
"2018-04-02 10:00","2018","04","02","10:00","1.3","","-6.1","","58","","26","","8","","24.1","","99.56","","","","","","Mainly Clear"
"2018-04-02 11:00","2018","04","02","11:00","2.8","","-7.0","","48","","28","","13","","24.1","","99.56","","","","","","NA"
"2018-04-02 12:00","2018","04","02","12:00","3.6","","-6.7","","47","","28","","11","","24.1","","99.49","","","","","","NA"
