"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-08-01 00:00","2018","08","01","00:00","21.6","","19.9","","90","","11","","8","","24.1","","99.05","","29","","","","NA"
"2018-08-01 01:00","2018","08","01","01:00","21.6","","20.0","","90","","10","","6","","24.1","","99.04","","29","","","","Mostly Cloudy"
"2018-08-01 02:00","2018","08","01","02:00","21.3","","19.0","","86","","12","","7","","24.1","","98.99","","28","","","","NA"
"2018-08-01 03:00","2018","08","01","03:00","21.3","","19.1","","87","","11","","7","","24.1","","98.96","","28","","","","NA"
"2018-08-01 04:00","2018","08","01","04:00","21.1","","19.2","","89","","13","","12","","24.1","","98.91","","28","","","","Mostly Cloudy"
"2018-08-01 05:00","2018","08","01","05:00","20.8","","19.4","","92","","12","","10","","24.1","","98.89","","28","","","","NA"
"2018-08-01 06:00","2018","08","01","06:00","21.0","","19.9","","93","","12","","8","","24.1","","98.88","","28","","","","NA"
"2018-08-01 07:00","2018","08","01","07:00","22.3","","20.1","","87","","18","","14","","24.1","","98.89","","30","","","","Cloudy"
"2018-08-01 08:00","2018","08","01","08:00","22.8","","20.3","","86","","19","","17","","24.1","","98.87","","31","","","","NA"
"2018-08-01 09:00","2018","08","01","09:00","23.4","","20.6","","84","","19","","22","","24.1","","98.84","","31","","","","NA"
"2018-08-01 10:00","2018","08","01","10:00","23.9","","20.9","","83","","18","","17","","24.1","","98.84","","32","","","","Cloudy"
"2018-08-01 11:00","2018","08","01","11:00","24.9","","20.5","","76","","18","","26","","24.1","","98.85","","33","","","","NA"
"2018-08-01 12:00","2018","08","01","12:00","24.5","","20.3","","77","","18","","28","","24.1","","98.83","","32","","","","NA"
"2018-08-01 13:00","2018","08","01","13:00","24.5","","20.4","","77","","19","","25","","24.1","","98.83","","32","","","","Cloudy"
"2018-08-01 14:00","2018","08","01","14:00","24.8","","20.2","","75","","20","","21","","24.1","","98.78","","33","","","","NA"
"2018-08-01 15:00","2018","08","01","15:00","24.8","","19.5","","72","","21","","20","","24.1","","98.77","","32","","","","NA"
"2018-08-01 16:00","2018","08","01","16:00","25.6","","19.7","","69","","21","","21","","24.1","","98.79","","33","","","","Mostly Cloudy"
"2018-08-01 17:00","2018","08","01","17:00","25.0","","19.6","","71","","20","","18","","24.1","","98.81","","32","","","","NA"
"2018-08-01 18:00","2018","08","01","18:00","23.3","","20.1","","82","","23","","15","","19.3","","98.85","","31","","","","Rain Showers"
"2018-08-01 19:00","2018","08","01","19:00","23.5","","18.2","","72","","26","","10","","24.1","","98.89","","30","","","","Cloudy"
"2018-08-01 20:00","2018","08","01","20:00","22.6","","20.1","","86","","21","","8","","24.1","","98.97","","30","","","","NA"
"2018-08-01 21:00","2018","08","01","21:00","22.6","","18.7","","78","","27","","8","","24.1","","99.04","","29","","","","NA"
"2018-08-01 22:00","2018","08","01","22:00","22.1","","18.6","","80","","25","","8","","24.1","","99.06","","29","","","","Cloudy"
"2018-08-01 23:00","2018","08","01","23:00","21.6","","18.2","","81","","25","","10","","24.1","","99.11","","28","","","","NA"
"2018-08-02 00:00","2018","08","02","00:00","21.1","","18.1","","83","","25","","9","","24.1","","99.12","","27","","","","NA"
"2018-08-02 01:00","2018","08","02","01:00","20.8","","18.1","","84","","25","","7","","24.1","","99.13","","27","","","","Cloudy"
"2018-08-02 02:00","2018","08","02","02:00","20.2","","18.0","","87","","21","","7","","24.1","","99.14","","26","","","","NA"
"2018-08-02 03:00","2018","08","02","03:00","19.1","","17.7","","91","","20","","6","","16.1","","99.16","","","","","","NA"
"2018-08-02 04:00","2018","08","02","04:00","19.0","","17.8","","93","","21","","7","","24.1","","99.18","","","","","","Mainly Clear"
"2018-08-02 05:00","2018","08","02","05:00","19.0","","17.6","","92","","","","0","","16.1","","99.20","","","","","","NA"
"2018-08-02 06:00","2018","08","02","06:00","19.1","","17.7","","92","","22","","5","","24.1","","99.28","","","","","","NA"
"2018-08-02 07:00","2018","08","02","07:00","20.1","","18.1","","88","","22","","6","","17.7","","99.35","","26","","","","Cloudy"
"2018-08-02 08:00","2018","08","02","08:00","21.3","","17.7","","80","","25","","6","","17.7","","99.37","","27","","","","NA"
"2018-08-02 09:00","2018","08","02","09:00","23.4","","18.2","","72","","20","","4","","19.3","","99.36","","30","","","","NA"
"2018-08-02 10:00","2018","08","02","10:00","25.3","","18.1","","64","","22","","12","","24.1","","99.37","","31","","","","Cloudy"
"2018-08-02 11:00","2018","08","02","11:00","26.4","","18.4","","61","","23","","10","","24.1","","99.36","","33","","","","NA"
"2018-08-02 12:00","2018","08","02","12:00","26.9","","16.8","","53","","22","","7","","24.1","","99.34","","32","","","","NA"
"2018-08-02 13:00","2018","08","02","13:00","27.0","","17.3","","55","","17","","12","","24.1","","99.34","","32","","","","Cloudy"
"2018-08-02 14:00","2018","08","02","14:00","26.9","","18.9","","61","","18","","18","","24.1","","99.31","","34","","","","NA"
"2018-08-02 15:00","2018","08","02","15:00","27.2","","17.8","","56","","19","","17","","24.1","","99.29","","33","","","","NA"
"2018-08-02 16:00","2018","08","02","16:00","26.8","","17.0","","54","","19","","24","","24.1","","99.26","","32","","","","Mostly Cloudy"
"2018-08-02 17:00","2018","08","02","17:00","26.0","","19.1","","65","","18","","21","","24.1","","99.26","","33","","","","NA"
"2018-08-02 18:00","2018","08","02","18:00","25.4","","18.8","","66","","18","","18","","24.1","","99.25","","32","","","","NA"
"2018-08-02 19:00","2018","08","02","19:00","24.8","","18.9","","69","","18","","12","","24.1","","99.30","","31","","","","Mostly Cloudy"
"2018-08-02 20:00","2018","08","02","20:00","23.6","","18.4","","72","","22","","8","","24.1","","99.35","","30","","","","NA"
"2018-08-02 21:00","2018","08","02","21:00","23.0","","17.1","","69","","22","","9","","24.1","","99.38","","28","","","","NA"
"2018-08-02 22:00","2018","08","02","22:00","22.7","","16.8","","69","","23","","8","","24.1","","99.41","","28","","","","Cloudy"
"2018-08-02 23:00","2018","08","02","23:00","22.0","","16.7","","71","","21","","7","","24.1","","99.44","","27","","","","NA"
"2018-08-03 00:00","2018","08","03","00:00","21.6","","17.0","","74","","36","","1","","24.1","","99.44","","27","","","","NA"
"2018-08-03 01:00","2018","08","03","01:00","20.0","","16.6","","81","","36","","1","","24.1","","99.44","","25","","","","Mostly Cloudy"
"2018-08-03 02:00","2018","08","03","02:00","19.2","","16.8","","86","","35","","4","","24.1","","99.42","","","","","","NA"
"2018-08-03 03:00","2018","08","03","03:00","18.6","","16.6","","88","","36","","2","","24.1","","99.41","","","","","","NA"
"2018-08-03 04:00","2018","08","03","04:00","18.0","","16.6","","91","","36","","2","","24.1","","99.39","","","","","","Mostly Cloudy"
"2018-08-03 05:00","2018","08","03","05:00","18.3","","16.5","","89","","1","","5","","16.1","","99.46","","","","","","NA"
"2018-08-03 06:00","2018","08","03","06:00","18.2","","16.8","","91","","36","","2","","24.1","","99.50","","","","","","NA"
"2018-08-03 07:00","2018","08","03","07:00","19.8","","18.1","","90","","36","","2","","17.7","","99.54","","","","","","Cloudy"
"2018-08-03 08:00","2018","08","03","08:00","21.9","","19.1","","84","","36","","2","","17.7","","99.57","","29","","","","NA"
"2018-08-03 09:00","2018","08","03","09:00","23.6","","18.7","","74","","36","","1","","19.3","","99.57","","30","","","","NA"
"2018-08-03 10:00","2018","08","03","10:00","24.7","","19.9","","74","","7","","5","","19.3","","99.55","","32","","","","Cloudy"
"2018-08-03 11:00","2018","08","03","11:00","25.4","","18.9","","67","","13","","5","","24.1","","99.56","","32","","","","NA"
"2018-08-03 12:00","2018","08","03","12:00","26.5","","20.1","","67","","17","","7","","24.1","","99.56","","34","","","","NA"
"2018-08-03 13:00","2018","08","03","13:00","27.1","","19.9","","64","","14","","13","","24.1","","99.51","","35","","","","Mostly Cloudy"
"2018-08-03 14:00","2018","08","03","14:00","27.5","","19.7","","62","","14","","17","","24.1","","99.45","","35","","","","NA"
"2018-08-03 15:00","2018","08","03","15:00","27.6","","19.8","","62","","19","","15","","24.1","","99.41","","35","","","","NA"
"2018-08-03 16:00","2018","08","03","16:00","26.9","","20.2","","66","","15","","10","","24.1","","99.39","","35","","","","Mostly Cloudy"
"2018-08-03 17:00","2018","08","03","17:00","26.2","","19.6","","67","","10","","17","","24.1","","99.41","","33","","","","NA"
"2018-08-03 18:00","2018","08","03","18:00","25.7","","19.8","","70","","14","","17","","24.1","","99.41","","33","","","","NA"
"2018-08-03 19:00","2018","08","03","19:00","23.7","","19.3","","76","","13","","12","","24.1","","99.45","","31","","","","Mainly Clear"
"2018-08-03 20:00","2018","08","03","20:00","22.8","","19.6","","82","","11","","9","","24.1","","99.46","","30","","","","Thunderstorms"
"2018-08-03 21:00","2018","08","03","21:00","22.6","","20.4","","87","","16","","7","","16.1","","99.44","","31","","","","NA"
"2018-08-03 22:00","2018","08","03","22:00","21.2","","20.0","","93","","3","","7","","16.1","","99.49","","29","","","","Mainly Clear"
"2018-08-03 23:00","2018","08","03","23:00","20.5","","19.6","","95","","2","","8","","16.1","","99.52","","28","","","","NA"
"2018-08-04 00:00","2018","08","04","00:00","19.8","","19.1","","96","","2","","4","","16.1","","99.51","","","","","","NA"
"2018-08-04 01:00","2018","08","04","01:00","19.7","","19.2","","97","","36","","3","","16.1","","99.43","","","","","","Clear"
"2018-08-04 02:00","2018","08","04","02:00","19.0","","18.7","","98","","31","","4","","12.9","","99.45","","","","","","NA"
"2018-08-04 03:00","2018","08","04","03:00","18.9","","18.6","","98","","36","","3","","12.9","","99.45","","","","","","NA"
"2018-08-04 04:00","2018","08","04","04:00","18.2","","17.9","","98","","3","","4","","9.7","","99.43","","","","","","Fog"
"2018-08-04 05:00","2018","08","04","05:00","18.1","","17.7","","98","","2","","7","","0.0","","99.51","","","","","","Fog"
"2018-08-04 06:00","2018","08","04","06:00","19.0","","18.9","","99","","3","","3","","0.0","","99.53","","","","","","Fog"
"2018-08-04 07:00","2018","08","04","07:00","19.5","","19.4","","99","","36","","2","","1.0","","99.57","","","","","","Fog"
"2018-08-04 08:00","2018","08","04","08:00","21.5","","21.3","","98","","16","","7","","16.1","","99.60","","30","","","","NA"
"2018-08-04 09:00","2018","08","04","09:00","24.7","","20.2","","76","","19","","7","","19.3","","99.58","","32","","","","NA"
"2018-08-04 10:00","2018","08","04","10:00","26.6","","20.1","","67","","28","","5","","24.1","","99.59","","34","","","","Mainly Clear"
"2018-08-04 11:00","2018","08","04","11:00","27.0","","20.1","","65","","4","","3","","24.1","","99.57","","35","","","","NA"
"2018-08-04 12:00","2018","08","04","12:00","27.7","","19.8","","62","","31","","3","","24.1","","99.54","","35","","","","NA"
"2018-08-04 13:00","2018","08","04","13:00","28.8","","18.7","","54","","25","","8","","24.1","","99.50","","35","","","","Mostly Cloudy"
"2018-08-04 14:00","2018","08","04","14:00","27.8","","21.0","","66","","20","","11","","24.1","","99.49","","36","","","","NA"
"2018-08-04 15:00","2018","08","04","15:00","29.2","","21.0","","61","","20","","12","","24.1","","99.47","","38","","","","NA"
"2018-08-04 16:00","2018","08","04","16:00","29.9","","17.0","","45","","28","","9","","24.1","","99.47","","35","","","","Mainly Clear"
"2018-08-04 17:00","2018","08","04","17:00","29.8","","15.7","","42","","27","","7","","24.1","","99.49","","34","","","","NA"
"2018-08-04 18:00","2018","08","04","18:00","28.6","","17.7","","51","","32","","12","","24.1","","99.49","","34","","","","NA"
"2018-08-04 19:00","2018","08","04","19:00","27.7","","17.5","","53","","32","","12","","24.1","","99.51","","33","","","","Clear"
"2018-08-04 20:00","2018","08","04","20:00","25.1","","17.1","","61","","36","","3","","24.1","","99.54","","30","","","","NA"
"2018-08-04 21:00","2018","08","04","21:00","24.6","","16.7","","61","","36","","3","","24.1","","99.59","","30","","","","NA"
"2018-08-04 22:00","2018","08","04","22:00","23.1","","17.2","","69","","32","","4","","24.1","","99.61","","29","","","","Clear"
"2018-08-04 23:00","2018","08","04","23:00","22.3","","17.4","","73","","36","","1","","24.1","","99.57","","28","","","","NA"
"2018-08-05 00:00","2018","08","05","00:00","21.5","","17.1","","76","","36","","2","","24.1","","99.59","","27","","","","NA"
"2018-08-05 01:00","2018","08","05","01:00","20.6","","16.7","","78","","27","","3","","24.1","","99.59","","26","","","","Mainly Clear"
"2018-08-05 02:00","2018","08","05","02:00","20.6","","15.9","","74","","36","","2","","24.1","","99.58","","25","","","","NA"
"2018-08-05 03:00","2018","08","05","03:00","20.2","","16.1","","77","","19","","4","","24.1","","99.57","","25","","","","NA"
"2018-08-05 04:00","2018","08","05","04:00","20.4","","16.7","","79","","25","","4","","24.1","","99.58","","25","","","","Clear"
"2018-08-05 05:00","2018","08","05","05:00","19.4","","16.5","","83","","36","","3","","24.1","","99.63","","","","","","NA"
"2018-08-05 06:00","2018","08","05","06:00","20.2","","16.9","","81","","27","","3","","24.1","","99.66","","25","","","","NA"
"2018-08-05 07:00","2018","08","05","07:00","21.7","","18.0","","79","","16","","5","","24.1","","99.69","","28","","","","Mainly Clear"
"2018-08-05 08:00","2018","08","05","08:00","23.9","","18.7","","72","","18","","7","","24.1","","99.70","","30","","","","NA"
"2018-08-05 09:00","2018","08","05","09:00","26.7","","18.6","","61","","20","","6","","24.1","","99.66","","33","","","","NA"
"2018-08-05 10:00","2018","08","05","10:00","28.2","","18.6","","55","","25","","14","","24.1","","99.63","","35","","","","Clear"
"2018-08-05 11:00","2018","08","05","11:00","30.1","","20.5","","56","","20","","10","","24.1","","99.60","","38","","","","NA"
"2018-08-05 12:00","2018","08","05","12:00","31.2","","22.0","","57","","20","","12","","24.1","","99.57","","41","","","","NA"
"2018-08-05 13:00","2018","08","05","13:00","31.4","","22.9","","60","","19","","19","","24.1","","99.56","","42","","","","Mostly Cloudy"
"2018-08-05 14:00","2018","08","05","14:00","31.4","","22.5","","59","","18","","18","","24.1","","99.48","","41","","","","NA"
"2018-08-05 15:00","2018","08","05","15:00","30.9","","21.6","","57","","18","","13","","24.1","","99.42","","40","","","","NA"
"2018-08-05 16:00","2018","08","05","16:00","31.9","","18.5","","44","","24","","16","","24.1","","99.41","","38","","","","Mostly Cloudy"
"2018-08-05 17:00","2018","08","05","17:00","31.5","","18.7","","46","","22","","18","","24.1","","99.38","","38","","","","NA"
"2018-08-05 18:00","2018","08","05","18:00","31.7","","18.9","","46","","22","","21","","24.1","","99.33","","38","","","","NA"
"2018-08-05 19:00","2018","08","05","19:00","30.1","","18.9","","51","","22","","14","","24.1","","99.31","","37","","","","Mainly Clear"
"2018-08-05 20:00","2018","08","05","20:00","28.9","","18.7","","53","","21","","15","","24.1","","99.35","","35","","","","NA"
"2018-08-05 21:00","2018","08","05","21:00","27.9","","19.0","","58","","23","","12","","24.1","","99.42","","35","","","","NA"
"2018-08-05 22:00","2018","08","05","22:00","26.7","","19.3","","63","","21","","10","","24.1","","99.42","","34","","","","Mainly Clear"
"2018-08-05 23:00","2018","08","05","23:00","25.9","","19.4","","67","","22","","9","","24.1","","99.42","","33","","","","NA"
"2018-08-06 00:00","2018","08","06","00:00","26.2","","19.6","","67","","23","","14","","24.1","","99.42","","33","","","","NA"
"2018-08-06 01:00","2018","08","06","01:00","25.4","","19.7","","70","","22","","12","","24.1","","99.39","","33","","","","Mainly Clear"
"2018-08-06 02:00","2018","08","06","02:00","24.1","","19.8","","76","","22","","6","","24.1","","99.32","","32","","","","NA"
"2018-08-06 03:00","2018","08","06","03:00","23.7","","19.7","","78","","23","","6","","19.3","","99.29","","31","","","","NA"
"2018-08-06 04:00","2018","08","06","04:00","23.6","","19.6","","78","","23","","8","","19.3","","99.26","","31","","","","Mainly Clear"
"2018-08-06 05:00","2018","08","06","05:00","23.4","","19.6","","79","","22","","7","","24.1","","99.30","","31","","","","NA"
"2018-08-06 06:00","2018","08","06","06:00","23.9","","19.8","","78","","23","","9","","24.1","","99.32","","31","","","","NA"
