"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Current Station Operator","NAV Canada"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","6158410"
"WMO Identifier","71639"
"TC Identifier","YKZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-07-01 00:00","2018","07","01","00:00","26.9","","20.4","","67","","33","","5","","16.1","","99.19","","35","","","","NA"
"2018-07-01 01:00","2018","07","01","01:00","25.8","","20.8","","74","","36","","2","","16.1","","99.28","","34","","","","Clear"
"2018-07-01 02:00","2018","07","01","02:00","23.9","","21.0","","83","","17","","7","","16.1","","99.27","","32","","","","NA"
"2018-07-01 03:00","2018","07","01","03:00","24.1","","21.4","","84","","20","","5","","16.1","","99.24","","33","","","","NA"
"2018-07-01 04:00","2018","07","01","04:00","23.7","","21.1","","85","","19","","7","","16.1","","99.22","","32","","","","Mainly Clear"
"2018-07-01 05:00","2018","07","01","05:00","23.7","","21.5","","87","","17","","7","","16.1","","99.24","","33","","","","NA"
"2018-07-01 06:00","2018","07","01","06:00","24.4","","21.8","","86","","18","","5","","16.1","","99.25","","34","","","","NA"
"2018-07-01 07:00","2018","07","01","07:00","26.0","","22.3","","80","","18","","10","","24.1","","99.28","","36","","","","Clear"
"2018-07-01 08:00","2018","07","01","08:00","28.1","","22.6","","71","","23","","11","","24.1","","99.29","","38","","","","NA"
"2018-07-01 09:00","2018","07","01","09:00","29.6","","23.3","","68","","20","","9","","24.1","","99.28","","40","","","","NA"
"2018-07-01 10:00","2018","07","01","10:00","31.8","","23.6","","61","","20","","14","","24.1","","99.25","","43","","","","Clear"
